"","Year","datatopic","peryear_indicators"
"1",1960,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"2",1960,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"3",1960,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",21
"4",1960,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"5",1960,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"6",1960,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"7",1960,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"8",1960,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"9",1960,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"10",1960,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"11",1960,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"12",1960,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"13",1960,"Economic Policy & Debt: National accounts: Shares of GDP & other",19
"14",1960,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"15",1960,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"16",1960,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"17",1960,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"18",1960,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"19",1960,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"20",1960,"Economic Policy & Debt: Official development assistance",29
"21",1960,"Environment: Agricultural production",3
"22",1960,"Environment: Density & urbanization",8
"23",1960,"Environment: Emissions",12
"24",1960,"Environment: Energy production & use",15
"25",1960,"Financial Sector: Assets",7
"26",1960,"Financial Sector: Exchange rates & prices",6
"27",1960,"Financial Sector: Interest rates",3
"28",1960,"Financial Sector: Monetary holdings (liabilities)",3
"29",1960,"Health: Health systems",2
"30",1960,"Health: Mortality",17
"31",1960,"Health: Population: Dynamics",5
"32",1960,"Health: Population: Structure",58
"33",1960,"Health: Reproductive health",2
"34",1960,"Infrastructure: Communications",7
"35",1960,"Private Sector & Trade: Exports",18
"36",1960,"Private Sector & Trade: Imports",18
"37",1960,"Private Sector & Trade: Total merchandise trade",1
"38",1960,"Public Sector: Defense & arms trade",5
"39",1960,"Social Protection & Labor: Economic activity",6
"40",1960,"Social Protection & Labor: Labor force structure",7
"41",1960,"Social Protection & Labor: Migration",4
"42",1960,"Social Protection & Labor: Unemployment",6
"43",1961,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"44",1961,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"45",1961,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",21
"46",1961,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"47",1961,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"48",1961,"Economic Policy & Debt: National accounts: Growth rates",16
"49",1961,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"50",1961,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"51",1961,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"52",1961,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"53",1961,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"54",1961,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"55",1961,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"56",1961,"Economic Policy & Debt: National accounts: Shares of GDP & other",19
"57",1961,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"58",1961,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"59",1961,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"60",1961,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"61",1961,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"62",1961,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"63",1961,"Economic Policy & Debt: Official development assistance",29
"64",1961,"Environment: Agricultural production",13
"65",1961,"Environment: Density & urbanization",11
"66",1961,"Environment: Emissions",12
"67",1961,"Environment: Energy production & use",15
"68",1961,"Environment: Freshwater",2
"69",1961,"Environment: Land use",9
"70",1961,"Financial Sector: Assets",9
"71",1961,"Financial Sector: Exchange rates & prices",7
"72",1961,"Financial Sector: Interest rates",4
"73",1961,"Financial Sector: Monetary holdings (liabilities)",4
"74",1961,"Health: Health systems",2
"75",1961,"Health: Mortality",17
"76",1961,"Health: Population: Dynamics",6
"77",1961,"Health: Population: Structure",58
"78",1961,"Health: Reproductive health",4
"79",1961,"Infrastructure: Communications",4
"80",1961,"Private Sector & Trade: Exports",18
"81",1961,"Private Sector & Trade: Imports",18
"82",1961,"Private Sector & Trade: Total merchandise trade",1
"83",1961,"Public Sector: Defense & arms trade",5
"84",1961,"Social Protection & Labor: Economic activity",6
"85",1961,"Social Protection & Labor: Labor force structure",7
"86",1961,"Social Protection & Labor: Migration",3
"87",1961,"Social Protection & Labor: Unemployment",6
"88",1962,"Economic Policy & Debt: Balance of payments: Capital & financial account",7
"89",1962,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"90",1962,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"91",1962,"Economic Policy & Debt: Balance of payments: Current account: Transfers",3
"92",1962,"Economic Policy & Debt: Balance of payments: Reserves & other items",5
"93",1962,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"94",1962,"Economic Policy & Debt: National accounts: Growth rates",16
"95",1962,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",7
"96",1962,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"97",1962,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"98",1962,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"99",1962,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
